qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q231688	6000000003323015118	Berenice III	Cleopatra Selene I Philadelphus Queen Consort of Egypt	6000000002415448137	6000000006842879105	Q3340	Q40027	father: their Q3340 carries 6000000002415234643, ours is 6000000002415448137 | mother: their Q40027 carries no Geni id
Q3120397	6000000003369294709	Guillaume de Montmorency	Frederick IV d'Aragona king of Naples	6000000001044775728	6000000003369194917	Q3172651	Q61733628	father: their Q3172651 carries 6000000003827675756, ours is 6000000001044775728 | mother: their Q61733628 carries 6000000003827774340, ours is 6000000003369194917
Q3439756	6000000003472358740	Sir John Grey of Groby	John Grey 7th Lord Ferrers of Groby	6000000001142243806	6000000001142106766	Q4529808	Q26218366	father: their Q4529808 carries 6000000001544573469, ours is 6000000001142243806 | mother: their Q26218366 carries no Geni id
Q18954396	6000000003615405061	John Savage	John Savage III, Esq.	6000000003378552256	6000000006921450302	Q90056635	Q99212566	father: their Q90056635 carries 6000000003615405061, ours is 6000000003378552256 | mother: their Q99212566 carries 6000000002022468267, ours is 6000000006921450302
Q7343605	6000000003615653077	Robert Douglas, 8th Earl of Morton	Robert Douglas 8th Earl of Morton	6000000016992278732	6000000001580713615	Q7617765	Q75269339	mother: their Q75269339 carries 6000000130208774095, ours is 6000000001580713615
Q13577437	6000000003622777758	Enrique Enríquez de Quiñones	Enrique Enríquez De Quiñonez señor de Orce	6000000003513940659	6000000003513940666	Q2091708	Q104653999	father: their Q2091708 carries 6000000085048938025, ours is 6000000003513940659 | mother: their Q104653999 carries no Geni id
Q811187	6000000003649647347	Baldwin FitzGilbert	Baudouin FitzGilbert de Meules Lord of Okehampton, Sheriff of Devon	6000000006130127140	6000000020693836798	Q1378618		father: their Q1378618 carries 6000000026716311335, ours is 6000000006130127140 | mother: none on the item
Q75247175	6000000003827305535	Luitgard of Elchingen-Ravenstein	Luitgard von Ravenstein	6000000003858704817		Q281245;Q60534495	Q242187;Q15624705	father: their Q281245 carries 6000000001744902183, ours is 6000000003858704817 | father: their Q60534495 carries no Geni id | mother: none in our tree
Q116119471	6000000003827612120	NN	Adelheid von Magdeburg	6000000004533643996	6000000004533651003	Q586924	Q61865793	father: their Q586924 carries 6000000002187823743, ours is 6000000004533643996 | mother: their Q61865793 carries no Geni id
Q3011344	6000000003827663183	John I, Count of Alençon	Jean de Montgomery comte d'Alençon	6000000003146963469	6000000002135367903	Q1394358	Q3144886	father: their Q1394358 carries 6000000011659683693, ours is 6000000003146963469 | mother: their Q3144886 carries no Geni id
Q3487816	6000000003827799015	Kunigunde of Poland	Judith Askanier Herzogin zu Sachsen-Wittenberg	6000000007685011239	6000000002187834025	Q54048	Q433699	father: their Q54048 carries 6000000004268081131, ours is 6000000007685011239 | mother: their Q433699 carries no Geni id
Q4020028	6000000003827852757	William Graham, 2nd Earl of Montrose	William Graham	6000000002187896880	6000000006727945930	Q419859	Q75274831	mother: their Q75274831 carries 6000000177049518824, ours is 6000000006727945930
