qid	latin	ja	zh
Q6529850	Ikoma Chikayuki	生駒親敬	
Q6535070	Andō Tameakira	安藤為章	
Q6535549	Okudaira Masashika	奥平昌鹿	
Q6536137	Kiyohara no Nobukata	清原宣賢	
Q6538842	Li Hui	李回	李回
Q6566970	King Yan of Xu	徐偃王	徐偃王
Q6577515	Samuel	サムエル	撒母耳
Q6582069	Watanabe no Tsuna	渡辺綱	渡边纲
Q6582141	Eshin-ni	恵信尼	惠信尼
Q6584320	Yamauchi Tadatoyo	山内忠豊	山內忠豐
Q6584412	Yun Ho	尹壕	尹壕
Q6604921	Kakushin-ni	覚信尼	覺信尼
Q6605379	Gyōnyo	巧如	
Q6605858	Jitsue	実恵	
Q6605877	Jitsugen	実玄	
Q6605899	Jikken	実顕	
Q6605916	Jitsugo	実悟	愿得寺兼俊
Q6605937	Jitsunyo	実如	本願寺實如
Q6605959	Shinohara Ukon	篠原右近	
Q6606080	Shimotsuma Raishū	下間頼秀	
Q6606120	Shimotsuma Raishō	下間頼照	下間賴照
Q6606211	Shakunyo	綽如	
Q6606356	Junnyo	順如	
Q6606896	Zenran	善鸞	
Q6607029	Zonnyo	存如	
Q6607651	Nyoshin	如信	
Q6609152	Yuizen	唯善	
Q6609386	Rengo	蓮悟	
Q6609429	Renjun	蓮淳	蓮淳
Q6609450	Renjō	蓮乗	
Q6609466	Rensei	蓮誓	
Q6638199	Matsudaira Yoritsugu	松平頼縄	松平賴繩
Q6638259	Matsudaira Yorinaga	松平頼永	松平賴永
Q6638278	Yorinari Matsudaira	松平頼孝	松平賴孝
Q6638375	Matsudaira Yorihisa	松平頼説	松平賴說
Q6638429	Matsudaira Yorifumi	松平頼策	松平賴策
Q6639596	Anayama Mitsuharu	穴山満春	穴山滿春
Q6639613	Takeda Ariyoshi	武田有義	
Q6639629	Takeda Ujinobu	武田氏信	
Q6639705	Takeda Kuninobu	武田国信	武田國信
Q6639927	Takeda Nobutake	武田信武	武田信武
Q6639961	Takeda Nobutoki	武田信時	武田信時
Q6639996	Takeda Nobunaga	武田信長	
Q6640013	Takeda Nobunari	武田信成	武田信成
Q6640048	Takeda Nobuharu	武田信春	武田信春
Q6640060	Takeda Nobumasa	武田信政	武田信政
Q6642697	Crown Prince Sunhoe	順懐世子	順懷世子
Q6642702	Princess Hyohye	孝恵公主	孝惠公主
Q6648114	Grand Prince Jean	李ケン	齊安大君
Q6653890	Hong Bong-han	洪鳳漢	洪鳳漢
Q6664799	King Pogao of Wu		頗高
Q6666127	Jeong of the Yeoheung Min clan	静嬪閔氏	靜嬪閔氏
Q6666200	Jeong Lee	靖嬪李氏	靖嬪李氏
Q6667417	Lee Unchje		雲帝夫人
Q6673483	Aryeong	閼英夫人	閼英夫人
Q6673667	Min Mu-hyul	閔無恤	閔無恤
Q6676690	Zhongli Chun		钟离春
Q6677122	Kim Yeon Jun	金龍春	金龍春
Q6678331	Kim Mun-geun	金汶根	金汶根
Q6678734	Kim Heum-sun	金欽純	金欽純
Q6693726	King Zhuan of Wu		轉
Q6699576	Gwi-in Pungyang Jo	貴人趙氏	貴人趙氏 (朝鮮英祖)
Q6699833	Jeongmyeong	貞明公主	貞明公主
Q6700017	Jeong of the Namyang Hong clan	貞嬪洪氏	貞嬪洪氏
Q6702881	Consort Seong of the Wonju Won clan	誠妃元氏	誠妃元氏
Q6706725	Duke Hui of Western Zhou	恵公	西周惠公
Q6727301	Zang Wuzhong		臧武仲
Q6728090	Shaghab	シャガブ	
Q6729121	Maeda Toshiyasu	前田利保	
Q6729471	Royal Consort Sukbin Hong	粛嬪洪氏	肅嬪洪氏
Q6739697	Makino Chikashige	牧野親成	
Q6739701	Makino Hideshige	牧野英成	
Q6739705	Makino Sadanaga	牧野貞長	
Q6739707	Makino Tadahiro	牧野忠寛	
Q6743293	Sinui	神懿王后	神懿王后
Q6752844	Royal Prince Tui	王子頽	王子颓
Q6756197	Xiongsui		熊遂
Q6759050	On-bin Han ssi	温嬪韓氏	溫嬪韓氏
Q6760559	Sook-ui Na	淑儀羅氏	淑儀羅氏
Q6760620	Royal Consort Sugui Bak	淑儀朴氏	淑儀朴氏
Q6760659	Lady Mun	淑儀文氏	淑儀文氏 (朝鮮文宗)
Q6772561	Marquess of Shen	申侯	申侯
Q6772657	Marquis Ai of Cai	哀侯	蔡哀侯
Q6772661	Marquis Dai of Cai	戴侯	蔡戴侯
Q6772670	Marquis Gòng of Cai	共侯	蔡共侯
Q6772674	Marquis Huan of Cai	桓侯	蔡桓侯
Q6772676	Marquis Li of Cai	厲侯	蔡厲侯
Q6772682	Marquis Mu of Cai	穆侯	蔡穆侯
Q6772696	Marquis Xi of Cai	釐侯	蔡僖侯
Q6772700	Marquis Xuan of Cai	宣侯	蔡宣公
Q6774847	Kexiang		柯相
Q6774886	King Keluo of Wu		柯盧
Q6777888	Marubashi Chūya	丸橋忠弥	
Q6785031	Zhu Youmu		朱由木
Q6785260	Zhu Ciyi		朱慈炲
Q6788046	Matsudaira Naritaka	松平斉孝	松平齊孝
Q6788057	Matsudaira Norinaga	松平乗寿	松平乘壽
Q6788060	Matsudaira Sadayasu	松平定安	
Q6788065	Matsudaira Sukekuni	松平資訓	
Q6788069	Matsudaira Teru	松平照	照姫
Q6788127	Matsumae Takahiro	松前崇広	松前崇廣
Q6788216	Matsura Hisanobu	松浦久信	松浦久信
Q6788865	Soheon	昭憲王后	昭憲王后
Q6788905	Zhao of Wey		昭伯
Q6790090	Côn Ngô		昆吾
Q6798094	Gyeong Bin-gim-ssi	慶嬪金氏	慶嬪金氏
Q6798361	Lady Chonju Lee	慎嬪金氏	慎嬪金氏
Q6799467	Yang	惠嬪楊氏	惠嬪楊氏
Q6799649	Queen Jiso	只召太后	息道夫人
Q6802929	Qiangjiuyi		彊鳩夷
Q6806709	Royal Consort Gwiin Jo	廃貴人趙氏	廢貴人趙氏
Q6806830	YeomChan	廉長	廉長
Q6807469	Khánh Phong	慶封	庆封
Q6811500	Ch'oe Ŭi	崔ウィ	崔竩
Q6813569	King Quyu of Wu		屈羽
Q6814638	Yun Jim	尹之任	尹之任
Q6820125	Zhu Benli	朱亶塉	定武帝
Q6821583	Royal Consort Anbin Yi	安嬪李氏	安嬪李氏 (朝鮮孝宗)
Q6829219	Matsudaira Shigefusa	松平重和	松平重和
Q6829283	Matsudaira Naoyoshi	松平尚栄	松平尚荣
Q6832196	Ogasawara Nagakuni	小笠原長国	
Q6832237	Naitō Masatsune	内藤政恒	內藤政恒
Q6832273	Matsudaira Mitsuo	松平光雄	
Q6832332	Matsudaira Mitsutsune	松平光庸	戶田光庸
Q6832376	Matsudaira Mitsuhisa	松平光則	
Q6832401	Matsudaira Mitsumasa	松平光和	
Q6835187	Xia Ji	夏姫	夏姬
Q6841529	Zhou Yao		周繇
Q6841572	Zhōu Zhāng		周章
Q6842973	Wuhui		吴回
Q6847015	King Goubei of Wu		句卑
Q6848399	King Quqi of Wu		去齊
Q6853912	Wongyeong	元敬王后	元敬王后
Q6853940	Royal Consort Wonbin Hong	元嬪洪氏	元嬪洪氏
Q6855022	In of the Suwon Kim clan	仁嬪金氏	仁嫔金氏
Q6860973	Myeong-bin Bak	䄙嬪朴氏	䄙嬪朴氏
Q6863145	Ichiman	一幡	源一幡
Q6863147	Minamoto no Nakatsuna	源仲綱	
Q6863154	Minamoto no Yoshikiyo	源義清	
Q6884227	Miyake Yasunobu	三宅康信	三宅康信
Q6940000	Musa ibn Yahya		穆萨·伊本·叶海亚
Q6951120	Mōri Toyomoto	毛利豊元	毛利豐元
Q6956819	Nabeshima Naohiro	鍋島直寛	鍋島直寬
Q6956822	Nabeshima Naooki	鍋島直興	
Q6956829	Nabeshima Naotsune	鍋島直恒	
Q6958349	Nagai Naomasa	永井尚政	
Q6967760	Nasu Sukeharu	那須資晴	
Q7040688	Nishio Tadakata	西尾忠固	
Q7040690	Nishio Tadamitsu	西尾忠需	
Q7040695	Nishio Tadayoshi	西尾忠善	
Q7040697	Nishio Tadayuki	西尾忠移	
Q7048552	Nomi Munekatsu	乃美宗勝	乃美宗勝
Q7079321	Enxianzhangsheng	エンシンザングシェング	
Q7079827	Ogasawara Nagahide	小笠原長秀	
Q7079829	Ogasawara Nagakiyo	小笠原長清	
Q7079831	Ogasawara Nagatsune	小笠原長経	小笠原長經
Q7079833	Ogasawara Nagatada	小笠原信興	小笠原信興
Q7079835	Ogasawara Sadamune	小笠原貞宗	小笠原貞宗
Q7079838	Ogasawara Tadanobu	小笠原忠忱	
Q7080528	Yabahudulu	イェベ・クトゥルク	牙八忽都鲁皇后
Q7094424	Ono no Oyu	小野老	
Q7114254	Owain ap Hywel	オーワイン・アプ・ハウエル	
Q7138528	Ichijō Saneaki	一條實昭	
Q7193988	Yuqiaoyiwu		餘橋疑吾
Q7204724	Kim Beom-moon	金梵文	金梵文
Q7215773	Danui	端懿王后	端懿王后
Q7217670	Zhu Changqian		朱常⿰氵遷
Q7218113	Tian Jia	田仮	田假
Q7218936	Wang Zhun	王綧	王𬘯
Q7222457	Ōoka Tadashina	大岡忠品	
Q7222476	Ōoka Tadayoshi	大岡忠宜	
Q7222491	Ōoka Tadatsune	大岡忠恒 (旗本)	
Q7222592	Ōoka Tadatomo	大岡忠與	
Q7222644	Ōoka Tadataka	大岡忠高	
Q7223176	Saionji Kinhiro	西園寺公広	西園寺公廣
Q7223250	Saionji Kinfuji	西園寺公藤	
Q7223321	Saionji Sanemitsu	西園寺実充	
Q7223346	Saionji Sanenobu	西園寺実宣	西園寺實宣
Q7223358	Saionji Sanenao	西園寺実尚	
Q7227532	Zhu Yiju		朱翊鉅 (淮王)
Q7234080	Qingjie	慶節	庆节
Q7237869	Deposed Queen Sin	居昌郡夫人	廢妃慎氏 (燕山君)
Q7241948	Royal Consort Yeongbin Kim	寧嬪金氏	寧嬪金氏
Q7244583	Princess Cheonmyeong of Silla		天明公主
Q7244713	King Yiwu of Wu		夷吾
Q7267958	Qiubo of Han	韓賕伯	賕伯
Q7314691	Zhu Zuojing		朱佐敬
Q7314810	Zhu Xiangcheng		朱相承
Q7314897	Zhu Guiyu		朱規裕
Q7315039	Zhu Yueqi		朱約麒
Q7315182	Zhu Jingfu		朱經扶
Q7315601	Zhu Lüdao		朱履焘
Q7320430	Rhescuporis I		列斯库波里斯一世
Q7392303	Takeda Nobuyoshi	武田信義	武田信義
Q7402879	Sakazaki Naomori	坂崎直盛	宇喜多詮家
Q7420129	Yú Zhòng		虞仲
Q7424985	Sasaki Hideyoshi	佐々木秀義	佐佐木秀義
Q7426991	Satō Sankichi	佐藤三吉	佐藤三吉
Q7427024	Takeda Nobumitsu	武田信光	武田信光
Q7449900	Sen Shōan	千少庵	宗淳
Q7449906	Sen Sōtan	千宗旦	千宗旦
Q7451164	Sen Sōshitsu IV	千宗室	
Q7459426	Seyyedeh Khatun		賽義德·席林
Q7480137	Nüying	女英	女英
Q7496005	Shiba Takatsune	斯波高経	斯波高經
Q7496850	Shimazu Tadayoshi	島津忠良	島津忠良
Q7497030	Shimozuma Chuko	下間仲孝	下間仲孝
Q7498919	Shiroishi Munezane	白石宗実	白石宗實
Q7504811	Shujun		叔均
Q7517270	Sim On	沈温	沈溫
Q7559099	Soma Moritane	相馬盛胤 (十五代当主)	相馬盛胤
Q7559115	Soma Yoshitane	相馬義胤 (十六代当主)	
Q7664521	Ji Sheng	季勝	季胜
Q7664534	Qiaoniu		桥牛
Q7676359	Taira Tsuneshige	千葉常重	千葉常重
Q7676363	Taira no Sadayoshi	平貞能	
Q7676742	Taj al-Dawla		塔杰·道莱
Q7677468	Takayama Tomoteru	高山友照	高山友照
Q7737965	Hyosun	孝純王后	孝純王后
Q7738190	Royal Consort Hwabin Yun	和嬪尹氏	和嬪尹氏
Q7738313	Princess Suk Seon	淑善翁主	淑善翁主
Q7738364	Prince Sanggye	常溪君	常溪君
Q7800294	Tiasa	ティアサ	
Q7820079	Tomo no Yoshio	伴善男	伴善男
Q7825795	Torii Tadanori	鳥居忠則	
Q7833315	Tran Quoc Tang		陳國顙
Q7849974	Tsugaru Nobuakira	津軽信明	
Q7849983	Tsugaru Tsugumichi	津軽承叙	津輕承敍
Q7849985	Tsugaru Yasuchika	津軽寧親	津輕寧親
Q7877477	Uesugi Kagenobu	上杉景信	上杉景信
Q7878975	Wodeng		握登
Q7902253	Usui Sadamitsu	碓井貞光	碓井貞光
Q7958925	Wada Koremasa	和田惟政	和田惟政
Q7961005	Wake no Kiyomaro	和気清麻呂	和気淸麻呂
Q7982231	Wen Jiang	文姜	文姜
Q7991016	Jiang Yuan	姜嫄	姜嫄
Q7991612	Ehuang	娥皇	娥皇
Q7993428	Xiong Xun	熊徇	熊徇
Q7993442	Xiong Shuang	熊霜	熊霜
Q7993703	Xiong E	熊咢	熊咢
Q7993719	Xiong Yong	熊勇	熊勇
Q7993756	Xiong Yan	熊厳	熊严
Q7993785	Xiong Zhi	熊摯紅	熊挚红
Q7993822	Xiong Yan	熊執疵	熊延
Q8009611	Kotoshironushi	事代主神	事代主神
Q8013075	Sadaham	斯多含	斯多含
Q8013567	Arata Abe	阿部正備	阿部正备
Q8013925	Abe Masahisa	阿部正耆	阿部正耆
Q8015623	Sanada Morinobu	真田守信	真田守信
Q8015896	Sanada Nobutada	真田信尹	真田信尹
Q8016915	Prince Ajwa	阿佐太子	阿佐太子
Q8044715	Xiong Li	熊麗	熊麗
Q8054937	Yonekura Tadasuke	米倉忠仰	
Q8062185	Yuwen Mogui	宇文莫圭	宇文莫珪
Q8062186	Yuwen Qiubuqin	宇文丘不勤	宇文丘不勤
Q8062739	Yūki Masakatsu	結城政勝	结城政胜
Q8070727	Zheng Mao	鄭瞀	鄭瞀
Q8071150	Zhu Shugui	朱術桂	朱術桂
Q8072920	Ziyu	韓輿	子輿 (韓氏)
Q8081572	Ōkubo Tadamasa	大久保忠方	
Q8081576	Ōkubo Tadaoki	大久保忠興	
Q8081578	Ōkubo Tadatomo	大久保忠朝	
Q8081579	Ōkubo Tadayoshi	大久保忠由	
Q8081726	Ōta Sukekatsu	太田資功	
Q8081727	Ōta Sukemoto	太田資始	
Q8081768	Ōtomo Chikaie	大友親家	大友親家
Q8081786	Ōuchi Masahiro	大内政弘	大内政弘
Q8081787	Ōuchi Yoshinaga	大内義長	大內義長
Q8190166	Hori Hidemasa	堀秀政	堀秀政
Q8190645	Horio Yoshiharu	堀尾吉晴	堀尾吉晴
Q8191715	Suseri-hime	須勢理姫神	须势理姬神
Q8191878	Kaya no hime	カヤノヒメ	鹿屋野比卖神
Q8249043	Qi Jiang	斉姜 (晋文公夫人)	齐姜 (晋文公夫人)
Q8249049	Mu Ji	穆姫	穆姬
Q8249059	Mu Ying		繆嬴
Q8249095	Zheng Xiu	鄭袖	鄭袖
Q8249096	Zhao Zhuang Ji	荘姫	赵庄姬
Q8249098	Bo Ji	伯姫	伯姬
Q8249109	Nanzi	南子	南子
Q8249116	Xia Ji	夏姫	夏姬
Q8249120	Yi Jiang		夷姜
Q8249124	Mengzi		孟子
Q8249132	Mi Ji		季芈畀我
Q8249135	Jì Kuī		季隗
Q8249145	Huai Ying	懐嬴	懷嬴
Q8249148	Wényíng	文エイ	文嬴
Q8249149	Wu Jiang		武姜
Q8249157	Hú Jì Jī	大戎狐姫	狐季姬
Q8249159	Jian Bi		簡璧
Q8249161	Zhen Jiang	貞姜	貞姜
Q8249165	Queen Hui of Zhao	呉孟姚	趙惠后
Q8249167	Deng Man	鄧曼	鄧曼
Q8249175	Bo Ying	伯嬴	伯嬴
Q8249180	Queen Daowu	武王后 (秦)	悼武王后
Q8249182	Zhai Hou		翟后
Q8249185	Queen Huiwen	恵文后	惠文后
Q8249187	Queen Hui of Zhou	陳嬀	陈妫
Q8249188	Ji Ji Jiang	紀季姜	紀季姜
Q8249192	Zhou Dingou		王后
Q8249198	Queen Dowager Huayang	華陽太后	華陽太后
Q8249212	Queen Jun		君王后
Q8249226	daughter of King Huiwen of Qin		燕文夫人
Q8249256	Queen Wucheng of Yan		燕武成后
Q8249266	Queen Wei of Zhao		赵威后
Q8249304	Consort Han		韓氏 (趙武靈王)
Q8249370	Zhao Mianchang	悼倡后	趙悼倡后
Q8249917	Yu Ji		虞姬
Q8253300	Lady Cao		曹贵妃 (西夏崇宗)
Q8253396	Empress Minghui	明恵皇后	明惠皇后
Q8254697	Empress Xuan		宣皇后 (明朝)
Q8258364	Queen Yeyang		葉陽后
Q8258508	Empress Wang		罔皇后
Q8258515	Empress Luo		罗皇后
Q8258567	Wang Shi	仁聖皇后	王氏
Q8258571	Empress Tudan	徒単皇后 (金哀宗)	徒单皇后
Q8258685	Empress Qinhuai		欽懷皇后
Q8262828	Queen Dowager Xuan	宣太后	宣太后
Q8262857	Momu		嫫母
Q8263333	Queen Dowager Tang	唐太后	唐太后
Q8318659	King Cuozhi of Yue	錯枝	錯枝
Q8363852	King Weng of Yue	翁 (越)	朱勾
Q8364380	King Yi of Yue	翳	翳
Q8375821	Hibasuhimenomikoto	日葉酢媛命	日叶酢媛命
Q8512697	Grand Prince Anwon		安原大君
Q8512704	Grand Prince Anchang		安昌大君
Q8512711	Grand Prince Ancheon		安川大君
Q8512720	Grand Prince Anpung		安豐大君
Q8512727	Grand Prince Anheung		安興大君
Q8512736	Grand Prince Wanseong		完城大君
Q8512743	Grand Prince Wanwon	完原大君	完原大君
Q8512750	Grand Prince Wancheon	完川大君	完川大君
Q8512758	Grand Prince Wanpung	李元桂	完丰大君
Q8512766	Grand Prince Uian	義安大君	义安大君
Q8512773	Grand Prince Hamnyeong		咸寧大君
Q8512781	Grand Prince Hamreung		咸陵大君
Q8512788	Grand Prince Hamseong		咸城大君
Q8512794	Grand Prince Hamyang		咸陽大君
Q8512801	Grand Prince Hamwon		咸原大君
Q8512807	Grand Prince Hamchang		咸昌大君
Q8512813	Grand Prince Hamcheon		咸川大君
Q8512820	Princess Anui		安懿公主
Q8512828	Royal Noble Consort Gongbin Kim	恭嬪金氏	恭嫔金氏
Q8512836	Kim Gae-si	金介屎	金介始
Q8513874	Naitō Masasada	内藤政貞	內藤政貞
Q8513878	Nanbu Naomasa	南部直政	
Q8513901	Nanbu Nobuoki	南部信恩	
Q8513907	Nanbu Nobuoki	南部信興	
Q8513913	Nanbu Nobuyori	南部信依	
Q8513934	Nanbu Nobufusa	南部信房	
Q8513940	Nanbu Toshimasa	南部利正	
Q8513962	Nanbu Toshimi	南部利視	
Q8513986	Nanbu Toshitomo	南部利義	
Q8514008	Nanbu Yukinobu	南部行信	
Q8514014	Nanbu Hironobu	南部広信	南部廣信
Q8514085	Tamura Muneaki	田村宗顕	
Q8514111	Tachibana Taneyoshi	立花種善	
Q8514124	Tachibana Taneharu	立花種温	立花種溫
Q8514148	Tōyama Masasuke	遠山政亮	
Q8514159	Tozawa Masanobu	戸沢正諶	戶澤正諶
Q8514170	Tozawa Masatsugu	戸沢正胤	戶澤正胤
Q8514175	Tozawa Masatsune	戸沢正庸	戶澤正庸
Q8514181	Tozawa Masayoshi	戸沢正勝	戶澤正勝
Q8514189	Tozawa Masazane	戸沢正実	戶澤正實
Q8514195	Tozawa Masachika	戸沢正親	戶澤正親
Q8514273	Matsumae Kunihiro	松前邦広	松前邦廣
Q8514319	Matsumae Sukehiro	松前資広	松前資廣
Q8514347	Matsushita Shigetsuna	松下重綱	松下重綱
Q8514354	Mogami Ienobu	最上義俊	
Q8514401	Nanbu Toshimoto	南部利幹	
Q8514444	Mizoguchi Naotoki	溝口直侯	
Q8514480	Satake Yoshimine	佐竹義峯	
Q8514486	Satake Yoshimichi	佐竹義道	
Q8514503	Satake Yoshizumi	佐竹義純	
Q8514549	Satake Yoshitaka	佐竹義堯	
Q8514593	Sōma Toshitane	相馬利胤	
Q8514605	Sōma Masutane	相馬益胤	
Q8514611	Sōma Morotane	相馬恕胤	
Q8514617	Sōma Muratane	相馬樹胤	
Q8514623	Sōma Michitane	相馬充胤	
Q8514642	Sōma Yoshitane	相馬祥胤	
Q8514666	Akita Norisue	秋田孝季	
Q8514668	Akita Terusue	秋田輝季	
Q8514709	Oda Nobumichi	織田信学	
Q8514791	Uesugi Haruhiro	上杉治広	治廣
Q8514797	Iwaki Nobutaka	岩城宣隆	岩城宣隆
Q8514807	Iwaki Takanori	岩城隆恕	
Q8514816	Iwaki Takamasa	岩城隆政	
Q8514831	Iwaki Takayoshi	岩城隆恭	
Q8514835	Iwaki Takakuni	岩城隆邦	
Q8514841	Iwaki Takahiro	岩城隆喜	
Q8514847	Iwaki Shigetaka	岩城重隆	
Q8514851	Iwaki Hidetaka	岩城秀隆	
Q8514897	Naitō Masanori	内藤政憲	內藤政憲
Q8514902	Naitō Masanobu	内藤政業	內藤政業
Q8514908	Naitō Masamori	内藤政森	
Q8514914	Naitō Masaatsu	内藤政醇	內藤政醇
Q8514926	Naitō Masayasu	内藤政養	內藤政養
Q8514937	Naitō Masachika	内藤政親	
Q8514945	Naitō Masaki	内藤政樹	內藤政樹
Q8514951	Naitō Masatami	内藤政民	內藤政民
Q8514980	Naitō Yoshishige	内藤義稠	內藤義稠
Q8514986	Naitō Yoshitaka	内藤義孝	內藤義孝
Q8514993	Toki Yoriyuki	土岐頼行	土岐賴行
Q8515009	Matsudaira Nobunari	松平信孝	
Q8515016	Matsudaira Nobumasa	松平信正	
Q8515054	Matsudaira Nobuyuki	松平信志	
Q8515055	Matsudaira Nobuyuki	松平信行	
Q8515074	Matsudaira Nobutoshi	松平信利	
Q8515086	Matsudaira Nobuhide	松平信豪	松平信豪
Q8515092	Matsudaira Tadatsune	松平忠恒	
Q8515098	Matsudaira Tadaakira	松平忠暁	松平忠曉
Q8515108	Matsudaira Sukenobu	松平典信	
Q8515122	Matsudaira Yasukado	松平康圭	
Q8515128	Matsudaira Yasukata	松平康爵	
Q8515146	Mizuno Tadahiro	水野忠弘	
Q8515157	Sakai Tadanori	酒井忠禮	
Q8515175	Sakai Tadamichi	酒井忠方	
Q8515208	Sakai Tadayasu	酒井忠予	
Q8515231	Sakai Tadayoshi	酒井忠良	
Q8515249	Sakai Tadakata	酒井忠器	
Q8515285	Akimoto Tsunetomo	秋元永朝	
Q8515297	Akimoto Hisatomo	秋元久朝	
Q8515344	Ogasawara Nagayuki	小笠原長恭	
Q8515394	Inagaki Shigetsuna	稲垣重綱	稻垣重綱
Q8515486	Honda Tadashige	本多忠誠	
Q8515496	Honda Tadayuki	本多忠如	
Q8515501	Honda Tadakazu	本多忠籌	
Q8515540	Masanaka Hotta	堀田正仲	
Q8515986	Sakai Tadaatsu	酒井忠温	
Q9010200	Iwatsutsunoo	イワツツノオ	石筒之男神
Q9081532	Takeda Nobumori	武田信守	武田信守
Q9150391	Takeminakata	建御名方神	建御名方神
Q9150392	Yasakatome	八坂刀売神	八坂刀賣神
Q9252684	Eliakim		以利亚敬
Q9383388	Yoshishige no Yasutane	慶滋保胤	慶滋保胤
Q9383509	Uesugi Yorishige	上杉頼重	上杉賴重
Q9414457	Fei-gongzi	公子フツ	公子市
Q9414526	Prince Liao		公子廖
Q9414661	Hong-gongzi	公子弘	公子弘
Q9414826	Prince Chi	公子池	公子池
Q9415053	Prince Yao		公子繇
Q9415151	Prince Qin		公子褍秦
Q9415445	Gongsun Zhou		公孫周
Q9420977	Gong Shuduan	共叔段	共叔段
Q9511624	Huaxu	華胥	华胥
Q9560859	Uncle Zhan		叔詹
Q9569181	Gouwang		句望
Q10016750	Ame no Mahitotsu no kami	天目一箇神	天目一箇神
Q10049081	Yi Zhongnian		夷仲年
Q10089045	Queen Jiang		姜后
Q10103742	Zixi	子傒	子傒
Q10106587	Zisi		子驷
Q10122188	Jilian		季连
Q10146529	Utsunomiya Hirotsuna	宇都宮広綱	宇都宮廣綱
Q10204112	Munakata Ujisada	宗像氏貞	宗像氏貞
Q10259846	Feng Xiaoyan	封孝琰	封孝琰
Q10265626	Amago Takahisa	尼子敬久	尼子敬久
Q10265646	Toyohisa Amago	尼子豊久	尼子豐久
Q10270429	Shima Chikamasu	島親益	島親益
Q10271660	Cui Yixuan	崔義玄	崔义玄
Q10285339	Qingdou	慶都	庆都
Q10297032	Empress Fang		房后
Q10299225	Jingkang		敬康
Q10313627	Kakavarna Kalashoka		迦罗输伽
Q10323320	Yan An		晏安
Q10329123	Suetsugu Masanao	末次政直	末次平藏
Q10339165	Komutan Li Çefu		李遮匐
Q10367424	Wu Ruheng		武儒衡
Q10368456	Wu Yihuang		武翊黄
Q10376543	King Bushou of Yue	不寿	不寿
Q10396554	Wen Daya		温大雅
Q10413283	Wang Yao		王姚
Q10425468	Tian Ying	田嬰	田婴
Q10430704	Shiratori Nagahisa	白鳥長久	白鳥長久
Q10438384	Gusou		瞽叟
Q10456035	Chikurin-in	竹林院 (真田信繁正室)	竹林院
Q10460070	Nagafusa Shinohara	篠原長房	筱原长房
Q10483675	Lao Tong		老童
Q10491346	Kua Tou	トルチヤン	𠇗头
Q10514086	Fujiwara no Edayoshi	藤原枝良	藤原枝良
Q10514592	Jiao Ji		蟜極
Q10514713	Naitō Kunisada	内藤国貞	內藤國貞
Q10514721	Naitō Hironori	内藤弘矩	內藤弘矩
Q10514726	Naitō Tadatoshi	内藤忠俊	
Q10514730	Naitō Tadakatsu	内藤忠勝	內藤忠勝
Q10514734	Naitō Tadamasa	内藤忠政 (鳥羽藩主)	內藤忠政
Q10514737	Naitō Tadatsugu	内藤忠次	內藤忠次
Q10514743	Naitō Tadashige	内藤忠重	內藤忠重
Q10514755	Naitō Masataka	内藤政尭	
Q10514758	Naitō Masamichi	内藤政峻	
Q10514779	Naitō Masamitsu	内藤政苗	
Q10514783	Naitō Masasato	内藤政里	內藤政里
Q10514786	Naitō Masaaki	内藤政陽	內藤政陽
Q10514790	Naitō Masatsugu	内藤政韶	内藤政韶
Q10514805	Naitō Masakatsu	内藤正勝 (安房勝山藩主)	內藤正勝 (安房勝山藩主)
Q10514808	Naitō Masakatsu	内藤正勝	
Q10514812	Naitō Masatomo	内藤正友	
Q10514820	Naitō Masahisa	内藤正寿	
Q10514823	Naitō Masasuke	内藤正弼	
Q10514826	Naitō Masanari	内藤正成 (四郎左衛門)	内藤正成
Q10514836	Naitō Masaoki	内藤正興	
Q10514845	Naitō Masashige	内藤正重	
Q10514853	Naitō Hachi	内藤波知	內藤波知
Q10514860	Naitō Kiyonari	内藤清成	內藤清成
Q10514864	Naitō Kiyomasa	内藤清政	
Q10514870	Naitō Kiyotsugu	内藤清次	
Q10514885	Naitō Shigeyori	内藤重頼	
Q10514891	Naitō Nagayoshi	内藤長好	
Q10514902	Naitō Takayo	内藤隆世	內藤隆世
Q10514924	Awaya Mototoyo	粟屋元豊	
Q10516925	Naitō Motoyoshi	内藤元珍	
Q10516959	Naitō Masayoshi	内藤政吉	
Q10516980	Naitō Masatomo	内藤政和	內藤政和
Q10517019	Naitō Masayori	内藤政順	內藤政順
Q10517037	Naitō Masayuki	内藤正敬	
Q10517088	Naitō Masayoshi	内藤正能	
Q10517132	Naitō Yoshihide	内藤義英	內藤義英
Q10517159	Naitō Yorimochi	内藤頼以	内藤賴以
Q10517187	Naitō Yorihiro	内藤頼博	
Q10517209	Naitō Yorinori	内藤頼卿	
Q10517237	Naitō Yorikata	内藤頼容	內藤賴容
Q10517283	Naitō Yoriyasu	内藤頼寧	內藤賴寧
Q10517340	Naitō Yorichika	内藤頼愛	內藤賴愛
Q10517368	Naitō Yoriatsu	内藤頼敦	內藤賴敦
Q10517393	Naitō Yoriyuki	内藤頼由	
Q10517413	Naitō Yorinao	内藤頼直	內藤賴直
Q10517514	Ogasawara Nobutane	小笠原信胤	
Q10517711	Honda Suketoshi	本多助賢	
Q10517777	Honda Inuchiyo	本多犬千代	
Q10518012	Kutsuki Tsunaharu	朽木綱張	
